usa_or_hhsregion,variant,Date,share,share_hi,share_lo,time_interval,modeltype,nchs_or_count_flag,region
1,B.1.628,2021-03-13,0.0,,,weekly,weighted,1.0,region_01
1,B.1.617.1,2021-03-13,0.0,,,weekly,weighted,1.0,region_01
1,B.1.626,2021-03-13,0.0,,,weekly,weighted,1.0,region_01
1,B.1.621.1,2021-03-13,0.0,,,weekly,weighted,1.0,region_01
1,B.1.1.7,2021-03-13,0.25339758098125453,0.32853818535804746,0.19057198762893673,weekly,weighted,0.0,region_01
1,B.1.525,2021-03-20,0.003274483198765625,0.012981473701074674,0.0008199560688808,weekly,weighted,1.0,region_01
1,B.1.429,2021-03-20,0.0318104438483715,0.0616261698305606,0.0161714442074298,weekly,weighted,0.0,region_01
1,B.1.1.7,2021-03-20,0.3338247358798981,0.3777477443218231,0.2926670014858246,weekly,weighted,0.0,region_01
1,B.1.351,2021-03-20,0.00091942806029686,0.01953989602625368,4.2489883344320006e-05,weekly,weighted,1.0,region_01
1,B.1.526,2021-03-20,0.16483468934893603,0.269859217107296,0.09550013300031418,weekly,weighted,0.0,region_01
1,Other,2021-03-20,0.4889055371284485,0.5831851482391357,0.39764887690544126,weekly,weighted,0.0,region_01
1,B.1.427,2021-03-20,0.0168912541121244,0.0378585420548915,0.0074464562349021,weekly,weighted,0.0,region_01
1,AY.3,2021-03-20,0.0,,,weekly,weighted,1.0,region_01
1,B.1.621,2021-03-20,0.0,,,weekly,weighted,1.0,region_01
1,AY.1,2021-03-20,0.0,,,weekly,weighted,1.0,region_01
1,B.1.626,2021-03-20,0.0,,,weekly,weighted,1.0,region_01
1,P.1,2021-03-20,0.02850367017090316,0.06416336074471468,0.012438165210187379,weekly,weighted,0.0,region_01
1,B.1.617.3,2021-03-20,0.0,,,weekly,weighted,1.0,region_01
1,B.1.617.2,2021-03-20,0.0,,,weekly,weighted,1.0,region_01
1,B.1.621.1,2021-03-20,0.0,,,weekly,weighted,1.0,region_01
1,B.1.628,2021-03-20,0.0,,,weekly,weighted,1.0,region_01
1,A.2.5,2021-03-20,0.0009543390478938,0.0060136369429528,0.00015080384764585002,weekly,weighted,1.0,region_01
1,B.1.617.1,2021-03-20,0.005395352374762266,0.05331909780700997,0.0005221032576324666,weekly,weighted,1.0,region_01
1,AY.2,2021-03-20,0.0,,,weekly,weighted,1.0,region_01
1,B.1.427,2021-03-27,0.0134224472567439,0.0240736864507198,0.0074478122405707,weekly,weighted,0.0,region_01
1,B.1.351,2021-03-27,0.00342407245188946,0.006564019247889461,0.00178344221785658,weekly,weighted,1.0,region_01
1,B.1.621,2021-03-27,0.0,,,weekly,weighted,1.0,region_01
1,B.1.621.1,2021-03-27,0.0,,,weekly,weighted,1.0,region_01
1,B.1.617.3,2021-03-27,0.0,,,weekly,weighted,1.0,region_01
1,B.1.429,2021-03-27,0.0274170227348804,0.0542714148759841,0.0136587154120206,weekly,weighted,0.0,region_01
1,B.1.526,2021-03-27,0.21891040727496142,0.4259751960635185,0.09759022016078231,weekly,weighted,0.0,region_01
1,B.1.525,2021-03-27,0.008083931519649874,0.0282857692800462,0.002276646730024325,weekly,weighted,0.0,region_01
1,AY.2,2021-03-27,0.0,,,weekly,weighted,1.0,region_01
1,B.1.617.1,2021-03-27,0.0,,,weekly,weighted,1.0,region_01
1,AY.1,2021-03-27,0.0,,,weekly,weighted,1.0,region_01
1,P.1,2021-03-27,0.04531170576810832,0.17394331395626064,0.010598397068679299,weekly,weighted,0.0,region_01
1,Other,2021-03-27,0.37887862920761106,0.44297996163368225,0.31504877209663384,weekly,weighted,0.0,region_01
1,A.2.5,2021-03-27,0.00138870574301105,0.0136497025378048,0.00013972521992394998,weekly,weighted,1.0,region_01
1,B.1.1.7,2021-03-27,0.38206675052642824,0.47507273554801943,0.29667937159538266,weekly,weighted,0.0,region_01
1,B.1.617.2,2021-03-27,0.0,,,weekly,weighted,1.0,region_01
1,AY.3,2021-03-27,0.0,,,weekly,weighted,1.0,region_01
1,B.1.626,2021-03-27,0.0,,,weekly,weighted,1.0,region_01
1,B.1.628,2021-03-27,0.0,,,weekly,weighted,1.0,region_01
1,Other,2021-04-03,0.3268914073705673,0.40093436241149905,0.25809859335422514,weekly,weighted,0.0,region_01
1,B.1.429,2021-04-03,0.0270690023899078,0.0748537555336952,0.0094763720408082,weekly,weighted,0.0,region_01
1,A.2.5,2021-04-03,0.0004118362849112,0.008562689181417199,1.965411684065e-05,weekly,weighted,1.0,region_01
1,B.1.427,2021-04-03,0.0070797144435346,0.0227900240570306,0.0021752044558525,weekly,weighted,0.0,region_01
1,B.1.1.7,2021-04-03,0.41767152547836306,0.5188645899295807,0.3227222859859466,weekly,weighted,0.0,region_01
1,B.1.626,2021-04-03,0.0,,,weekly,weighted,1.0,region_01
1,B.1.621.1,2021-04-03,0.0,,,weekly,weighted,1.0,region_01
1,B.1.351,2021-04-03,0.00957136470824474,0.06461802646517747,0.00135553285945204,weekly,weighted,1.0,region_01
1,B.1.628,2021-04-03,0.0003387415878629667,0.0031549769919365,8.164927930914999e-05,weekly,weighted,1.0,region_01
1,AY.1,2021-04-03,0.0,,,weekly,weighted,1.0,region_01
1,B.1.621,2021-04-03,0.0,,,weekly,weighted,1.0,region_01
1,P.1,2021-04-03,0.04761528596282002,0.14198574572801584,0.014867180958390161,weekly,weighted,0.0,region_01
1,AY.2,2021-04-03,0.0,,,weekly,weighted,1.0,region_01
1,B.1.526,2021-04-03,0.23029223829507828,0.4316091313958168,0.10616023838520044,weekly,weighted,0.0,region_01
1,B.1.525,2021-04-03,0.00730250368360425,0.03326955996453758,0.0015705972036812,weekly,weighted,0.0,region_01
1,B.1.617.3,2021-04-03,0.0,,,weekly,weighted,1.0,region_01
1,B.1.617.1,2021-04-03,0.0,,,weekly,weighted,1.0,region_01
1,AY.3,2021-04-03,0.0,,,weekly,weighted,1.0,region_01
1,B.1.617.2,2021-04-03,0.0009768974850885,0.00605581197887656,0.00015691429143766,weekly,weighted,1.0,region_01
1,Other,2021-04-10,0.2873156577348709,0.41223633885383604,0.1908877536654472,weekly,weighted,0.0,region_01
1,B.1.617.2,2021-04-10,0.00195546844042832,0.01246137209236616,0.00030411998159246003,weekly,weighted,1.0,region_01
1,B.1.1.7,2021-04-10,0.4500612258911133,0.5441599309444427,0.35890706777572634,weekly,weighted,0.0,region_01
1,B.1.626,2021-04-10,0.0,,,weekly,weighted,1.0,region_01
1,P.1,2021-04-10,0.06505265161395071,0.12990168929100032,0.0318284790962934,weekly,weighted,0.0,region_01
1,AY.1,2021-04-10,0.0,,,weekly,weighted,1.0,region_01
1,B.1.351,2021-04-10,0.0078024151735007,0.0188136138021945,0.0032147164456546,weekly,weighted,0.0,region_01
1,A.2.5,2021-04-10,0.0006795769731979,0.0025877739535644,0.00017821275105230002,weekly,weighted,1.0,region_01
1,AY.3,2021-04-10,0.0,,,weekly,weighted,1.0,region_01
1,B.1.621.1,2021-04-10,0.0,,,weekly,weighted,1.0,region_01
1,B.1.526,2021-04-10,0.22616205364465708,0.3556077852845192,0.13434438593685621,weekly,weighted,0.0,region_01
1,B.1.628,2021-04-10,0.0,,,weekly,weighted,1.0,region_01
1,AY.2,2021-04-10,0.0,,,weekly,weighted,1.0,region_01
1,B.1.617.3,2021-04-10,0.0,,,weekly,weighted,1.0,region_01
1,B.1.427,2021-04-10,0.0031418642029166,0.0093983961269259,0.0010459211189299,weekly,weighted,1.0,region_01
1,B.1.429,2021-04-10,0.0123417591676115,0.0432936735451221,0.0034387370105832,weekly,weighted,0.0,region_01
1,B.1.525,2021-04-10,0.0083905553910881,0.028864867519587223,0.0024030003114603,weekly,weighted,0.0,region_01
1,B.1.617.1,2021-04-10,0.0009964261553249666,0.006371762293080467,0.00015511162928300002,weekly,weighted,1.0,region_01
1,B.1.621,2021-04-10,0.0,,,weekly,weighted,1.0,region_01
1,B.1.429,2021-04-17,0.0146130360662937,0.036214493215084,0.0058187651447951,weekly,weighted,0.0,region_01
1,B.1.628,2021-04-17,0.0003023120613457667,0.00293027260340745,7.00275959388e-05,weekly,weighted,1.0,region_01
1,B.1.525,2021-04-17,0.008586033014580574,0.035328016616404,0.002043808432063025,weekly,weighted,0.0,region_01
1,B.1.1.7,2021-04-17,0.49829559326171874,0.5584715247154236,0.4386315941810608,weekly,weighted,0.0,region_01
1,B.1.626,2021-04-17,0.0,,,weekly,weighted,1.0,region_01
1,B.1.617.2,2021-04-17,0.00301709552295502,0.00861310791224236,0.001113050954882,weekly,weighted,0.0,region_01
1,B.1.621,2021-04-17,0.00108415803406382,0.00698970993980758,0.00016731726354912,weekly,weighted,1.0,region_01
1,P.1,2021-04-17,0.05698554590344425,0.16007025241851802,0.01929037198424336,weekly,weighted,0.0,region_01
1,B.1.617.1,2021-04-17,0.0024850768192360333,0.006401492437968567,0.0009624580852686666,weekly,weighted,1.0,region_01
1,AY.1,2021-04-17,0.0,,,weekly,weighted,1.0,region_01
1,B.1.617.3,2021-04-17,0.0,,,weekly,weighted,1.0,region_01
1,A.2.5,2021-04-17,0.0014661361346952001,0.0092484639026224,0.00023089677415549998,weekly,weighted,1.0,region_01
1,B.1.526,2021-04-17,0.23324316740036005,0.3592454344034195,0.1420574709773063,weekly,weighted,0.0,region_01
1,B.1.351,2021-04-17,0.0055250180885195,0.0223193373531103,0.0013502326328307,weekly,weighted,0.0,region_01
1,B.1.427,2021-04-17,0.007929541170597,0.0141717912629246,0.0044244755990803,weekly,weighted,0.0,region_01
1,AY.3,2021-04-17,0.0,,,weekly,weighted,1.0,region_01
1,B.1.621.1,2021-04-17,0.000218394725379725,0.00141235225601115,3.3736539080525e-05,weekly,weighted,1.0,region_01
1,AY.2,2021-04-17,0.0,,,weekly,weighted,1.0,region_01
1,Other,2021-04-17,0.23480331599712367,0.2982983350753784,0.18072000890970225,weekly,weighted,0.0,region_01
1,B.1.628,2021-04-24,0.0006248007218042333,0.003919375361874667,9.931173311386668e-05,weekly,weighted,1.0,region_01
1,B.1.617.1,2021-04-24,0.0006989925944556333,0.004384075291454767,0.00011109898089966667,weekly,weighted,1.0,region_01
1,B.1.617.3,2021-04-24,0.0,,,weekly,weighted,1.0,region_01
1,B.1.1.7,2021-04-24,0.5110685110092164,0.5766135454177856,0.4451959431171417,weekly,weighted,0.0,region_01
1,B.1.526,2021-04-24,0.23234760016202924,0.3386073820292949,0.15089810267090795,weekly,weighted,0.0,region_01
1,B.1.351,2021-04-24,0.00134665067307646,0.01174044385552402,0.00017805919487722,weekly,weighted,1.0,region_01
1,B.1.621.1,2021-04-24,0.000229716180911,0.00144310487667095,3.65291425623e-05,weekly,weighted,1.0,region_01
1,B.1.427,2021-04-24,0.0045286281965672,0.0230931155383586,0.0008747145184315,weekly,weighted,0.0,region_01
1,B.1.621,2021-04-24,0.0011396306334063,0.007136851083487219,0.00018105600611304,weekly,weighted,1.0,region_01
1,B.1.525,2021-04-24,0.015014023752883025,0.0687485300004482,0.003136892337351975,weekly,weighted,0.0,region_01
1,B.1.429,2021-04-24,0.0115731554105877,0.0208630319684743,0.0063928607851266,weekly,weighted,0.0,region_01
1,B.1.626,2021-04-24,0.00021986234060019998,0.0013812830438837,3.496186036495e-05,weekly,weighted,1.0,region_01
1,P.1,2021-04-24,0.07931068837642666,0.19148198366165156,0.03064657971262928,weekly,weighted,0.0,region_01
1,B.1.617.2,2021-04-24,0.0036596584599464604,0.01319229882210488,0.00100861970568072,weekly,weighted,0.0,region_01
1,AY.1,2021-04-24,0.0,,,weekly,weighted,1.0,region_01
1,AY.2,2021-04-24,0.0,,,weekly,weighted,1.0,region_01
1,A.2.5,2021-04-24,0.00162221654318265,0.00542879872955375,0.0004834481806028,weekly,weighted,1.0,region_01
1,Other,2021-04-24,0.20065032243728634,0.246072943508625,0.16045322269201273,weekly,weighted,0.0,region_01
1,AY.3,2021-04-24,0.0,,,weekly,weighted,1.0,region_01
1,Other,2021-05-01,0.14914247170090672,0.2033374398946762,0.10835616849362847,weekly,weighted,0.0,region_01
1,B.1.628,2021-05-01,0.0003868046187562333,0.0023532320434847998,6.346508598646666e-05,weekly,weighted,1.0,region_01
1,A.2.5,2021-05-01,0.00044083359534844997,0.002681543235667,7.233525320765e-05,weekly,weighted,1.0,region_01
1,B.1.617.3,2021-05-01,0.0,,,weekly,weighted,1.0,region_01
1,B.1.621,2021-05-01,0.002277866005897475,0.013776167295873125,0.000373000410036125,weekly,weighted,0.0,region_01
1,AY.3,2021-05-01,0.00023043611872705,0.004668069072067699,1.132731586035e-05,weekly,weighted,1.0,region_01
1,AY.2,2021-05-01,0.0,,,weekly,weighted,1.0,region_01
1,B.1.617.1,2021-05-01,0.00046037348996219997,0.0028008646331727,7.552218206296667e-05,weekly,weighted,1.0,region_01
1,P.1,2021-05-01,0.10257849097251888,0.2283655196428299,0.04226918444037432,weekly,weighted,0.0,region_01
1,B.1.621.1,2021-05-01,0.00533407565671945,0.011817836668342324,0.002398912387434325,weekly,weighted,0.0,region_01
1,B.1.626,2021-05-01,0.00023043611872705,0.004668069072067699,1.132731586035e-05,weekly,weighted,1.0,region_01
1,B.1.617.2,2021-05-01,0.00997903086245054,0.01825941279530522,0.00543450200930236,weekly,weighted,0.0,region_01
1,B.1.1.7,2021-05-01,0.5317180097103119,0.580784821510315,0.48196375370025635,weekly,weighted,0.0,region_01
1,B.1.351,2021-05-01,0.00110959613230076,0.011857640556991058,0.00011065185535692,weekly,weighted,1.0,region_01
1,B.1.427,2021-05-01,0.0022243638522922,0.0086798379197716,0.0005672856350429,weekly,weighted,0.0,region_01
1,AY.1,2021-05-01,0.0,,,weekly,weighted,1.0,region_01
1,B.1.429,2021-05-01,0.008484611287713,0.0312483683228492,0.0022649851161986,weekly,weighted,0.0,region_01
1,B.1.526,2021-05-01,0.23011487722396848,0.386864110827446,0.12398216314613815,weekly,weighted,0.0,region_01
1,B.1.525,2021-05-01,0.014854205539450025,0.04199888370931142,0.0051591121591627,weekly,weighted,0.0,region_01
1,B.1.427,2021-05-08,0.0026998575776815,0.0151647292077541,0.0004757208516821,weekly,weighted,1.0,region_01
1,B.1.621,2021-05-08,0.00218888847157352,0.00676717013120646,0.00070580793544646,weekly,weighted,1.0,region_01
1,BA.5,2021-05-08,0.0,,,weekly,weighted,1.0,region_01
1,CH.1.1,2021-05-08,0.0,,,weekly,weighted,1.0,region_01
1,B.1.525,2021-05-08,0.0108794812113046,0.05049455072730775,0.0022696341038681,weekly,weighted,0.0,region_01
1,XBB.1.9.1,2021-05-08,0.0,,,weekly,weighted,1.0,region_01
1,B.1.617.1,2021-05-08,0.0006261852104216334,0.0035401423616955,0.00011049363092743333,weekly,weighted,1.0,region_01
1,P.1,2021-05-08,0.09994135349988932,0.21127239167690273,0.04408886060118672,weekly,weighted,0.0,region_01
1,BF.11,2021-05-08,0.0,,,weekly,weighted,1.0,region_01
1,XBB.2.3,2021-05-08,0.0,,,weekly,weighted,1.0,region_01
1,B.1.621.1,2021-05-08,0.00799238937906915,0.016845141537487424,0.0037744501605629496,weekly,weighted,0.0,region_01
1,BQ.1,2021-05-08,0.0,,,weekly,weighted,1.0,region_01
1,BA.5.2.6,2021-05-08,0.0,,,weekly,weighted,1.0,region_01
1,XBB.1.9.2,2021-05-08,0.0,,,weekly,weighted,1.0,region_01
1,XBB.1.5,2021-05-08,0.0,,,weekly,weighted,1.0,region_01
1,B.1.626,2021-05-08,0.0016714440425857498,0.00862083677202455,0.000322245658026,weekly,weighted,1.0,region_01
1,BN.1,2021-05-08,0.0,,,weekly,weighted,1.0,region_01
1,FD.2,2021-05-08,0.0,,,weekly,weighted,1.0,region_01
1,B.1.617.2,2021-05-08,0.01609965893713862,0.023529684149167066,0.01059367415659563,weekly,weighted,0.0,region_01
1,B.1.1.7,2021-05-08,0.5233020101274762,0.5742556282452175,0.4716762261731284,weekly,weighted,0.0,region_01
1,B.1.429,2021-05-08,0.0021411736961454,0.0084309130907058,0.0005412261816672,weekly,weighted,1.0,region_01
