state,state_name,date,PRCP,SNOW,SNWD,TMAX,TMIN
TN,Tennessee,2022-04-10,30.841157216766973,0.20882428443075346,0.8460471567267683,170.36644237405108,40.78391994478951
TN,Tennessee,2022-04-17,112.5085443367719,0.0,29.15088282504013,222.0194099378882,82.96476880607315
TN,Tennessee,2022-04-24,24.73228400980079,0.0,0.0,215.65881126173096,78.14657629475148
TN,Tennessee,2022-05-01,34.65133862433863,0.0,0.0,240.34884453781513,94.8170316301703
TN,Tennessee,2022-05-08,45.392420897718914,0.0,0.0,246.4186131386861,117.64388251651026
TN,Tennessee,2022-05-15,12.348579021585854,0.0,0.0,278.69179894179894,139.92172839506173
TN,Tennessee,2022-05-22,32.82343583173179,0.0,0.0,291.19782913165267,156.50324991310393
TN,Tennessee,2022-05-29,80.26050921487163,0.0,0.0,235.69874686716793,147.1104547081991
TN,Tennessee,2022-06-05,21.855253042921206,0.0,0.0,293.4489670868347,159.10294117647058
TN,Tennessee,2022-06-12,65.04685693261852,0.0,0.0,283.4866737739872,165.12976190476192
TN,Tennessee,2022-06-19,6.429993461915659,0.0,0.0,328.231592039801,200.81345060412224
TN,Tennessee,2022-06-26,3.365841856373034,0.0,0.0,329.9366988900823,172.20819906910134
TN,Tennessee,2022-07-03,27.004615384615384,0.0,0.0,315.46074074074073,185.66403880070547
TN,Tennessee,2022-07-10,87.59927536231883,0.0,0.0,334.11290726817043,216.60821697099894
TN,Tennessee,2022-07-17,21.393135366506154,0.0,0.0,317.8925528105979,191.5269423558897
TN,Tennessee,2022-07-24,50.95931721929553,0.0,0.0,325.28290689410096,209.94554015636106
TN,Tennessee,2022-07-31,71.31604577175698,0.0,0.0,312.75662370211245,219.59174722520586
TN,Tennessee,2022-08-07,58.1126026272578,0.0,0.0,308.24812409812415,208.65174963924963
TN,Tennessee,2022-08-14,58.54280094011854,0.0,0.0,301.3647186147186,189.61978715728716
TN,Tennessee,2022-08-21,22.67582298136646,0.0,0.0,285.9437950937951,178.38529942279942
TN,Tennessee,2022-08-28,15.723648015004688,0.0,0.0,303.66853479853484,185.3220647037441
TN,Tennessee,2022-09-04,64.02078151855221,0.0,0.0,305.1363587540279,180.85742714996448
TN,Tennessee,2022-09-11,36.64991754277469,0.0,0.0,272.54722814498933,178.57860696517412
TN,Tennessee,2022-09-18,24.499528985507244,0.0,0.0,270.5416133617626,130.61805259417198
TN,Tennessee,2022-09-25,6.55753618628068,0.0,0.0,292.8221037668799,144.8024697938877
TN,Tennessee,2022-10-02,7.502541757443718,0.0,0.0,225.9764021164021,70.52243386243386
TN,Tennessee,2022-10-09,0.09096880131362889,0.0,0.0,229.78040156361052,56.86589688506982
TN,Tennessee,2022-10-16,29.153803405730603,0.0,0.0,232.21897601145722,66.04402958152959
TN,Tennessee,2022-10-23,8.794853560893385,0.0,0.0,173.8877730039384,17.981872294372295
TN,Tennessee,2022-10-30,32.639672364672364,0.0,0.0,213.93557107053348,65.4005772005772
TN,Tennessee,2022-11-06,23.323210378243203,0.0,0.0,216.6912579957356,103.62003222341569
TN,Tennessee,2022-11-13,43.72106345778052,0.010931776556776556,0.027685492801771874,204.80812746151094,74.60910894660894
TN,Tennessee,2022-11-20,19.787916928886094,0.0,0.028571428571428574,71.92703823953823,-40.02382769901854
TN,Tennessee,2022-11-27,15.145132509766656,0.0,0.0,148.62117604617606,-9.041693929480187
TN,Tennessee,2022-12-04,84.9721898630697,0.0,0.0,135.40445757250268,4.388816738816739
TN,Tennessee,2022-12-11,120.68423005565862,0.0,0.0,146.52689393939394,76.3380588876772
TN,Tennessee,2022-12-18,80.57610784009916,0.0,0.0,103.01026334776336,9.58423520923521
TN,Tennessee,2022-12-25,7.079712530173359,1.558259284575074,8.2825,39.45300366300366,-90.3443838604144
TN,Tennessee,2023-01-01,14.666764291137866,1.520923344947735,6.73044804128548,107.44679487179488,-4.697307692307692
TN,Tennessee,2023-01-08,85.08386826096077,0.0,0.0,153.33941391941391,44.192783882783885
TN,Tennessee,2023-01-15,34.74905183312263,0.712770048637032,2.541479484875711,111.3549293154762,-1.0681175595238093
TN,Tennessee,2023-01-22,58.654384057971015,0.0,1.3031624863685933,136.82772240679216,13.188519748984865
TN,Tennessee,2023-01-29,48.59970368059888,0.20736342042755346,1.1921992481203008,92.09937728937729,-14.41985347985348
TN,Tennessee,2023-02-05,44.26716402116402,0.09501955371520589,0.758041329739443,61.166266812068336,-16.701126862958922
TN,Tennessee,2023-02-12,20.87348437172226,0.02301963439404198,0.21040974529346626,155.6168484187568,27.719629225736096
TN,Tennessee,2023-02-19,95.27378358750907,0.1153061224489796,0.590678824721378,155.937804434751,14.381479462013813
TN,Tennessee,2023-02-26,36.55262488068725,0.0,0.027685492801771874,184.74198473282442,81.975627044711
